tt,mm,f1,f3,f4,f5,f6,f7,soilstor,epxstor,kststor1,kststor2,soil18o,epx18o,kststor118o,kststor218o,dpdf[0],stal1d18o,stal2d18o,stal3d18o,stal4d18o,stal5d18o,drip_int_stal1,drip_int_stal4,drip_int_stal3,drip_int_stal2,drip_int_stal5,cave_temp
21,9,40.0,3.217648403284819,0,1.947762293569145,0.09607509570263426,0,160.0,395.79649479125897,387.60469642025981,47.94147275561449,-1.8687980783554994,-3.1017934470258655,-4.4641874809461042,-4.0,3.19190721605854,-2.4573462616628294,-2.6220524210938123,-2.8780810892716779,-1.7575140040876347,-3.1202834098643661,417,101,78,56,103,7.949179242222211
22,10,25.073615392,3.366960881466072,15.163124107378565,1.9698084237591045,0.1262091937259861,0,100.294461568,399.0,391.99187632806178,62.97838766926707,-0.699334378240309,-2.9586653577930093,-4.4442581725620007,-3.7497823106075963,3.3400251944143435,-2.2540016189468437,-2.2915490745109013,-2.5345152339347754,-1.6051159136487581,-3.0912666626050633,317,100,83,66,102,7.905064551111103
23,11,0.0,3.192,0,1.9912594212009282,0.12595677533853414,0,0.0,392.641536,396.2606248189847,62.852430893928535,-0.29376475870978463,-2.9586653577930093,-4.4252307717760742,-3.7497823106075963,3.166464,-2.2694339474346181,-2.1989925408747446,-2.7530268963109616,-1.6210483877534543,-3.0903147292680178,318,101,93,77,100,7.98002408666666
24,12,0.0,3.1411322879999997,0,2.0129108109994069,0.12570486178785706,0,0.0,386.384400482304,400.0,62.726726032140675,-0.9714483541000001,-2.9586653577930093,-4.4062891055496696,-3.7497823106075963,3.116003229696,-2.2788508281050834,-2.5034505930765505,-2.8366865574079858,-1.6293686150581355,-3.081127106608017,318,103,93,87,100,8.024092740555549
25,1,0.0,3.091075203858432,0,2.0318271849965575,0.12545345206428135,0,0.0,380.226978676218,400.0,62.6012725800764,-1.6715942820999998,-2.9586653577930093,-4.3874376244257673,-3.7497823106075963,3.0663466022275645,-2.2769444660752924,-2.5327021845641395,-2.7731432302587899,-1.6265391778849114,-3.060890044589204,319,105,95,89,100,8.017961176388884
26,2,0.0,3.0418158294097437,0,2.0319738925852548,0.1252025451601528,0,0.0,374.16768154403377,400.0,62.47607003491625,-3.2283911391,-2.9586653577930093,-4.3686204573469221,-3.7497823106075963,3.017481302774466,-2.2763057201037329,-2.7094145400771152,-2.9924358300894571,-1.6257616054189405,-3.0420031469435838,320,106,96,91,100,8.017759912222218
27,3,5.056604399999999,3.0337942875522703,0,2.0325747864160433,0.1249521400698325,0,20.226417599999998,373.1809677232297,400.0,62.35111789484642,-1.8955457234000002,-2.9444896427340015,-4.3494646443686662,-3.7497823106075963,3.0095239332518524,-2.2628263084972788,-2.7609030759941922,-2.8063867554540822,-1.5968336092833102,-3.0088189327999171,320,107,83,80,100,7.954671295277773
28,4,0.7656106399999999,2.991572626905837,0,2.0323300209342983,0.12470223578969283,0,3.0624425599999996,367.9873656904332,400.0,62.22641565905673,-2.2720055985977856,-2.94311281254164,-4.3305720633054028,-3.7497823106075963,2.9676400458905907,-2.2265311307738678,-2.648598673465008,-2.8478479738575091,-1.5576466634680264,-2.9528079561680354,321,108,93,78,100,7.7877154183333275
29,5,11.174745633999999,3.0332968905954654,0,2.0328686044996651,0.12445283131811345,0,44.698982535999995,373.119783918367,400.0,62.10196282773861,-3.6847379169856103,-2.9649701438794196,-4.3118212320602005,-3.7497823106075963,3.0090305154707018,-2.1901663534241722,-2.8205909293020914,-2.9223048588061795,-1.5430859825263932,-2.8968559954606343,322,107,84,79,100,7.620624232777772
30,6,40.0,3.304958271346936,7.536307041843884,2.0352166776553302,0.139276539739165,0,160.0,399.0,400.0,69.49899332984333,-3.2419661907718402,-2.9917900694966497,-4.2924030544312917,-3.667751808197848,3.2785186051761603,-2.0933524355124522,-2.8421739983407468,-2.8189914003736716,-1.5382995790685916,-2.8408086405202759,287,100,60,54,100,7.456339752777772
