tt,mm,f1,f3,f4,f5,f6,f7,soilstor,epxstor,kststor1,kststor2,soil18o,epx18o,kststor118o,kststor218o,dpdf[0],stal1d18o,stal2d18o,stal3d18o,stal4d18o,stal5d18o,drip_int_stal1,drip_int_stal4,drip_int_stal3,drip_int_stal2,drip_int_stal5,cave_temp
18,6,57.392170752000006,1.8204062661622207,0,2.4198055202777264,0.09665385978827733,0,229.56868300800002,207.67194684378612,400.0,48.23027603435039,-3.8109012937097626,-3.070466904338809,-4.0032254115087182,-4.0,18.05843016032923,-3.2226190360029605,-4.0069035666299158,-3.9377732542604793,-2.4068982732800004,-3.6651561744508454,1020,710,148,129,246,13.406074444444439
19,7,60.0,2.141375574750289,0,2.3022607781533035,0.09646055206870079,0,240.0,244.288125567513,400.0,48.13381548228169,-3.6445362312623133,-3.199147403067022,-4.0071172985717274,-4.0,21.242445701522872,-3.4519929508404212,-4.1056174257476652,-3.8959697849295649,-2.7536236817607973,-3.7331663263449055,1076,636,182,124,259,13.255731388888886
20,8,60.0,2.434305004540104,0,2.3636506835994933,0.09626763096456338,0,240.0,277.7055149179351,400.0,48.03754785131713,-3.00046872905188,-3.1599716369451074,-3.9636368889196207,-4.0,24.148305645037837,-3.4576054847280657,-3.8832112873780078,-3.7358709251558153,-2.7458831566267161,-3.6845223968348106,990,514,154,121,238,13.140991111111106
21,9,60.0,2.701644119343481,0,2.3104374078940881,0.09607509570263426,0,240.0,308.2035611347043,400.0,47.94147275561449,-2.1026254813568706,-2.972113380171567,-3.8667215563661737,-4.0,26.80030966388733,-3.2573824841958254,-3.5018018318244692,-3.4354664649837163,-2.4494043348715078,-3.5072799329722848,972,453,163,118,233,13.083334166666663
22,10,31.693937999999992,2.7191799930776344,0,2.1695791446911712,0.09588294551122899,0,126.77575199999997,310.2040536102965,400.0,47.84558981010326,-1.5379743422499221,-2.8383862598868284,-3.7981331407564518,-4.0,26.97426553133013,-3.3259669975970185,-3.1869577738461441,-3.2589937158817861,-2.3563280372546069,-3.4586749139181583,999,462,211,154,239,13.06011333333333
23,11,5.367428399999992,2.524571856082372,0,2.1319350849655687,0.09569117962020653,0,21.469713599999967,285.469277681807,400.0,47.74989863048306,-1.296564187488937,-2.7374385708446107,-3.7501161752383676,-4.0,25.04375281233713,-3.40026365437196,-3.1149021503936725,-3.3064849096889892,-2.2854725497167827,-3.440973340149589,1017,510,232,206,243,13.088607777777774
24,12,0.0,2.283754221454456,0,2.1377936058507236,0.09549979726096612,0,0.0,258.1744335835244,400.0,47.654398833222096,-0.9907665199433411,-2.666751130844611,-3.6991781273000877,-4.0,22.654841876828204,-3.4136487733519294,-3.1193291891173924,-3.2419959495545436,-2.2001414586072521,-3.3967016066515088,1099,608,248,238,262,13.145841111111107
25,1,0.0,2.065395468668195,0,2.1195578517581719,0.09530879766644419,0,0.0,234.32059356566768,400.0,47.55909003555565,-1.9047847500000001,-2.627759485844611,-3.6551074079197949,-4.0,20.488723049188494,-3.6841809016615601,-3.2104551370054635,-3.3589623546305125,-2.3588748882276134,-3.4701798480476498,1047,637,244,231,249,13.186253611111109
26,2,0.0,1.8745647485253414,0,2.1079552651155296,0.0951181800711113,0,0.0,212.96101331177096,400.0,47.46397185548454,-2.63248555,-2.601079489844611,-3.6141188504952444,-4.0,18.595682305371387,-3.5224689738881931,-3.2440998848798364,-3.3445113569899876,-2.1876826185346365,-3.3650889367272674,1078,721,251,247,256,13.204939722222221
27,3,0.0,1.7036881064941676,0,2.1276518956548469,0.09492794371096908,0,0.0,193.37451038885465,400.0,47.369043911773566,-2.6982462,-2.571612625844611,-3.5757989879483594,-4.0,16.900586016422146,-3.6881047617612905,-3.4027303665206121,-3.4154071429883803,-2.285655466742087,-3.385989320459637,1068,785,241,238,253,13.141141111111107
28,4,0.0,1.5469960831108371,0,2.1204656188799409,0.09473808782354713,0,0.0,175.5695141612843,400.0,47.274305823950016,-2.600847667,-2.5442586558446108,-3.5379283167734696,-4.0,15.346201144459506,-3.5260531227132574,-3.3031541626041827,-3.2626508114601549,-2.0981809881051028,-3.2646295711226125,1112,898,253,242,263,13.018159166666663
